日期,,,,1月1日,1月2日,1月3日,1月4日,,,,
营业时间,,,,10:00-22:00,,10:00-21:00,10:00-20:30,,,,
门,,,,100/70/69/9/138/188/230,,,,,,,
门+剧,,,,158,,,,,,,
加购,,,,60,,,,,,,
《德化街》场次,,,,"13:30
15:30
17:10","15:30
17:10","
15:30
",15:30,,,,
日期,1月5日,1月6日,1月7日,1月8日,1月9日,1月10日,1月11日,,,,
营业时间,10:00-19:00,,,,,10:00-20:30,,,,,
门,100/70,,,,,19.9/100,,,,,
门+剧,/,,,,,120/85,,,,,
加购,/,,,,,40,,,,,
《德化街》场次,15:30,15:30,15:30,15:30,15:30,"15:30
17:10",15:30,,,,
日期,1月12日,1月13日,1月14日,1月15日,1月16日,1月17日,1月18日,,,,
营业时间,10:00-19:00,,,,,10:00-20:30,,,,,
门,100/70,,,,,19.9/100,,,,,
门+剧,/,,,,,120/85,,,,,
加购,/,,,,,40,,,,,
《德化街》场次,15:30,15:30,15:30,15:30,15:00,15:30,15:30,,,,
日期,1月19日,1月20日,1月21日,1月22日,1月23日,1月24日,1月25日,,,,
营业时间,闭园,,10:00-19:00,,,10:00-20:30,,,,,
门,100/70,,,,,98/100/70,,,,,
门+剧,/,,,,,120/85,,,,,
加购,/,,,,,40,,,,,
《德化街》场次,闭园,闭园,15:30,15:30,15:30,15:30,15:30,,,,
日期,1月26日,1月27日,1月28日,1月29日,1月30日,1月31日,2月1日,,,,
营业时间,10:00-19:00,,,,,10:00-20:30,,,,,
门,100/70,,,,,98/100/70,,,,,
门+剧,/,,,,,120/85,,,,,
加购,/,,,,,40,,,,,
《德化街》场次,15:30,15:30,15:30,15:30,15:30,15:30,15:30,,,,
日期,2月2日,2月3日,2月4日,2月5日,2月6日,2月7日,2月8日,,,,
营业时间,10:00-20:30,,,,,,,,,,
门,98/100/70,,,,,,,,,,
门+剧,120/85,,,,,,,,,,
加购,40,,,,,,,,,,
《德化街》场次,15:30,15:30,15:30,15:30,15:30,"15:30
17:10","15:30
17:10",,,,
日期,2月9日,2月10日,2月11日,2月12日,2月13日,2月14日,2月15日,,,,
营业时间,10:00-20:30,,,,,,,,,,
门,100/70/98,,,,,120/85/69.9/199/168/98,,,,,
门+剧,120/85,,,,,158,,,,,
加购,40,,,,,40,,,,,
《德化街》场次,"15:30
17:10","15:30
17:10","15:30
17:10","15:30
17:10","15:30
17:10","13:20
15:00
16:40","15:00
16:40",,,,
日期,2月16日,2月17日,2月18日,2月19日,2月20日,2月21日,2月22日,,,,
营业时间,10:00-16:00,9:00-22:00,,,,,,,,,
门,120/85/69.9/199/168/98,120/85/69.9/199/230,,,,,,,,,
门+剧,138/158,,,,,,,,,,
加购,40,60,,,,,,,,,
《德化街》场次,14:30,"11:40
13:20
15:00
16:40
18:30","11:40
13:20
15:00
16:40
18:30","10:00
11:40
13:20
15:00
16:40
18:30","10:00
11:40
13:20
15:00
16:40
18:30","10:00
11:40
13:20
15:00
16:40
18:30","11:40
13:20
15:00
16:40
18:30",,,,
日期,2月23日,2月24日,2月25日,2月26日,2月27日,2月28日,3月1日,,,,
营业时间,9:00-22:00,10:00-21:00,,,,,,,,,
门,120/85/199/230/69.9,,,,,,,,,,
门+剧,138/158,138,,,,,,,,,
加购,60,40,,,,,,,,,
《德化街》场次,"
11:40
15:30
18:50","15:30
17:10","15:30
17:10",15:30,"15:30
17:10","15:30
17:10",15:30,,,,
日期,3月2日,3月3日,3月4日,3月5日,3月6日,3月7日,3月8日,,,,
营业时间,10:00-21:00,10:00-22:00,,10:00-21:00,,,,,,,
门,120/85/199/230/69.9/138,,,100/70/128/19.9,,,,,,,
门+剧,138,,,120/85,,,,,,,
加购,40,,,,,,,,,,
《德化街》场次,15:30,"15:30
17:10","
15:30
","
15:30
","
15:30
","13:30
15:30
17:10","13:30
15:30
17:10",,,,
日期,3月9日,3月10日,3月11日,3月12日,3月13日,3月14日,3月15日,,,,
营业时间,10:00-21:00,,,,,,,,,,
门,100/70/128/19.9,,,,,,,,,,
门+剧,120/85,,,,,,,,,,
加购,40,,,,,,,,,,
《德化街》场次,15:30,15:30,"
15:30
","
15:30
","
15:30
",17:10,17:10,,,,
日期,3月16日,3月17日,3月18日,3月19日,3月20日,3月21日,3月22日,,,,
营业时间,10:00-21:00,,,,,,,,,,
门,100/70/128/138/69.9,,,,,,,,,,
门+剧,120/85,,,,,,,,,,
加购,40,,,,,,,,,,
《德化街》场次,15:30,15:30,"
15:30
","
13:30
15:30
","
15:30
","15:30
17:10",15:30,,,,
日期,3月23日,3月24日,3月25日,3月26日,3月27日,3月28日,3月29日,,,,
