2023年参考,门票销售,1540,2233,809,984,917,993,1754,2208,1406,1315,1216,1040,2554,847,930,1178,1546,1762,1696,3055,666,21995,14805,16888,22340,21984,14936,11173,10070,7714,7193,3359,3547,4983,15011,24212,4541,1815,1328,1055,1726,3362,1835,1156,4300,1771,1887,2045,6352,4474,1397,1067,891,1152,1252,5253,4316,1090,1081,0,1661,1876,2093,9785,7230,2023,2405,4838,2270,2503,5444,4627,1775,1602,1135,414,1301,5787,4739,815,1425,1964,1543,3774,4858,3425,1129,2077,1770,2285,3099,6816,3679,106,874,5381,1834,4180,6396,4597,1862,1765,1868,77,3313,7455,4013,2319,2637,2253,2324,701,622,354,566,2410,4174,3824,4111,16330,36824,44363,32697,1316,1070,1747,2457,3301,3299,3629,2561,3658,2152,6218,2728,1367,1785,959,1205,2896,8542,2833,1345,1211,1130,1231,816,986,1730,2038,1425,1921,3481,3682,4050,3418,2407,3239,4031,1953,1972,4132,3782,2663,2741,2416,1791,2046,3346,3032,2569,2372,1780,7465,7689,3256,1769,1562,1595,1687,2693,2998,4100,3981,1815,2771,2231,3258,2675,5571,3024,1816,1408,1767,2849,3380,6625,5952,2950,2849,3127,2993,2661,7518,5384,2628,2704,2621,3381,2946,1655,5346,2473,3722,5191,5066,5385,3024,12606,7859,7220,7251,7369,7784,12526,16067,8175,8296,8005,8127,9070,18985,14591,9171,14550,7814,8093,8403,2807,2429,6601,5108,3110,2620,2693,6054,3844,1418,1517,1440,1453,2309,8201,5628,1020,940,1345,1423,1294,4184,3290,932,287,1010,2049,1257,2644,2448,767,945,1121,1517,7720,19090,30458,23479,34325,17954,18681,4848,1841,2109,1411,1516,1904,1319,1363,5118,4031,1319,2687,2512,1477,4291,9602,6231,2583,2629,2591,3757,5324,12602,7481,3161,5779,4572,4576,1904,5539,1952,2863,2113,1882,1859,1358,3728,2721,911,1065,608,2759,4560,3403,2668,1014,2870,5063,1234,2065,1599,2184,770,4305,1815,1085,3318,3118,2144,997,2914,1082,1890,2377,3202,185,0,291,135,0,0,545,790,260,382,490,421,318,1763,2025,777,757,1577,1763,1092,9319,39497
2024年参考,门票销售,6891,755,907,732,610,1639,1383,630,690,799,680,900,2126,1827,489,299,512,537,470,1610,1867,828,661,1138,1119,1112,2762,3147,2006,2037,1374,332,415,1122,542,2009,1563,2030,2460,846,31857,21811,34533,38044,38312,27991,29399,18382,7989,2602,1708,356,605,1853,12615,6739,1343,1501,1255,1198,1206,5574,5527,989,1393,1373,2818,5328,10014,6334,1785,1650,1489,1688,1613,7722,4403,766,1045,1111,1090,1109,948,2138,646,1314,1321,1273,2491,5715,2399,1478,2181,889,16292,24687,7726,1989,2050,4983,3654,4143,5854,6762,4378,4467,2993,3035,2450,999,5420,3840,3063,2049,2625,2171,2652,3622,2233,2692,3129,24554,38813,35720,18346,6082,1151,1050,1190,2310,1728,4251,2228,1007,1626,1594,2540,3396,6357,3628,3380,2269,2745,3086,1828,4336,3708,3009,1393,1419,3002,990,5682,2807,1354,2010,1320,1643,2097,9132,9725,3618,794,730,844,1067,2103,1187,1441,1706,2020,1210,1316,3550,1997,1278,1388,1388,4948,2083,5231,5100,2446,3583,3384,2974,830,7159,3179,199,3343,3411,3259,3567,7497,5976,1274,2510,590,3487,2505,6714,5790,2282,3150,1850,2266,2815,4652,4699,3485,3895,4021,4420,4469,8898,6657,4469,5027,5241,5444,6426,20274,10474,7374,8186,8291,7638,8509,11476,10347,7746,8612,8557,8230,7676,10684,7196,4909,5457,5528,4760,3941,5285,2004,1380,1696,1021,1138,1217,5079,2535,1731,2805,1265,1365,880,1207,10138,15550,7169,652,661,1573,5713,3445,1285,1164,1090,1249,1533,2820,1940,490,18387,32477,36572,31312,25795,17823,4974,1348,1380,1135,2298,1419,4430,1808,1871,2745,534,2566,8088,2478,1358,2111,2382,1859,2706,10402,5650,2085,2815,2906,4351,3981,12965,5808,1908,1624,2755,1858,1939,7126,4024,1190,1343,1349,3029,1897,2934,3133,568,795,916,1487,912,6376,1484,545,921,733,1047,1207,3635,2438,793,895,690,948,1210,2842,1795,681,597,667,544,658,2686,1844,933,768,556,513,690,1923,1344,539,749,948,621,604,4802,2213,2063,20278
2025年参考,门票销售,8034,754,776,1813,1560,754,968,747,868,874,1919,1712,928,1005,1141,2307,2736,2292,2994,2316,2037,1963,1302,613,486,1137,1564,465,20608,13507,12635,19900,24223,21345,14794,8218,6578,4866,5443,7452,6191,4651,13181,5669,4558,5702,3866,1142,1206,734,507,697,2060,1786,742,1003,903,974,615,2197,50,0,530,1366,1168,1450,6533,3403,1167,1145,1077,1199,896,3186,2967,708,784,758,743,1805,5340,2618,2106,1474,1371,5216,1120,3087,2597,2507,1458,1303,1371,14143,19570,4999,1088,990,1586,2985,1738,0,2065,888,2791,3036,2008,2496,4326,3046,1070,1284,2236,3842,3267,4947,2305,2961,3012,1595,21542,33507,37143,24444,5792,1114,2189,1319,1589,3177,3287,937,1280,1663,1579,1486,4259,3095,1007,1441,1645,553,1594,4591,2812,776,894,805,1327,1346,10575,16929,4675,1083,780,1116,1081,3023,2013,845,1020,778,1226,1362,2678,2286,997,1069,972,839,1402,3141,2249,1258,1299,1498,2464,3028,4784,3703,2051,1892,2480,2137,1850,3471,2667,1535,2601,2207,2209,2290,4792,3452,1852,1413,1829,2107,2185,4862,4648,2806,2505,2720,3003,2838,8590,6870,4344,3720,3703,3642,4423,8377,5837,4116,3794,4850,3326,4523,7825,12296,7547,8516,8663,7952,8684,14408,12673,7123,6384,6637,6121,6267,10491,11913,6929,7334,6730,5824,8221,7753,3314,999,1976,423,178,557,2300,1978,851,953,748,0,936,2273,2083,709,257,694,105,325,2411,1335,624,118,944,787,1003,704,525,1014,2257,3366,9999,21810,12351,14167,11435,10334,1990,415,544,645,401,640,1112,980,992,116,4383,1941,606,1083,1228,2511,1489,3665,2668,1098,1380,2815,2906,4351,9338,3591,1121,3122,3924,1198,240,3909,2118,860,1069,1089,1376,1306,4237,2163,2024,505,906,629,740,2753,1715,398,2525,1064,1057,538,2261,1489,921,841,791,939,941,2546,1535,525,1621,1144,2002,157,9933,18825,441,649,697,2002,989,2518,1659,777,961,956,904,1685,1891,1500,1693,654,12133,
,天气备注,正常天早行雪化,正常天早上雾,正常天,阴,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,阴天,雨夹雪（路面结冰）,大雪闭园,正常天闭园,正常天,正常天,正常天,正常天,正常天,正常天,正常天,阴天,阴天,雪,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,大风天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,多云,正常天,正常天,正常天,正常天,正常天,雨雪天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,小雨,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,雨,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,雨,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,晴转微雨,阴天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,阴天,雨,正常天,正常天,正常天,正常天,正常天,多云,多云,雨天,多云,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天转雨,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,雨,正常天转雨,雨,正常天,正常天,正常天,正常天,正常天,正常天,正常天,正常天,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
门票,日期,1月1日,1月2日,1月3日,1月4日,1月5日,1月6日,1月7日,1月8日,1月9日,1月10日,1月11日,1月12日,1月13日,1月14日,1月15日,1月16日,1月17日,1月18日,1月19日,1月20日,1月21日,1月22日,1月23日,1月24日,1月25日,1月26日,1月27日,1月28日,1月29日,1月30日,1月31日,2月1日,2月2日,2月3日,2月4日,2月5日,2月6日,2月7日,2月8日,2月9日,2月10日,2月11日,2月12日,2月13日,2月14日,2月15日,2月16日,2月17日,2月18日,2月19日,2月20日,2月21日,2月22日,2月23日,2月24日,2月25日,2月26日,2月27日,2月28日,3月1日,3月2日,3月3日,3月4日,3月5日,3月6日,3月7日,3月8日,3月9日,3月10日,3月11日,3月12日,3月13日,3月14日,3月15日,3月16日,3月17日,3月18日,3月19日,3月20日,3月21日,3月22日,3月23日,3月24日,3月25日,3月26日,3月27日,3月28日,3月29日,3月30日,3月31日,4月1日,4月2日,4月3日,4月4日,4月5日,4月6日,4月7日,4月8日,4月9日,4月10日,4月11日,4月12日,4月13日,4月14日,4月15日,4月16日,4月17日,4月18日,4月19日,4月20日,4月21日,4月22日,4月23日,4月24日,4月25日,4月26日,4月27日,4月28日,4月29日,4月30日,5月1日,5月2日,5月3日,5月4日,5月5日,5月6日,5月7日,5月8日,5月9日,5月10日,5月11日,5月12日,5月13日,5月14日,5月15日,5月16日,5月17日,5月18日,5月19日,5月20日,5月21日,5月22日,5月23日,5月24日,5月25日,5月26日,5月27日,5月28日,5月29日,5月30日,5月31日,6月1日,6月2日,6月3日,6月4日,6月5日,6月6日,6月7日,6月8日,6月9日,6月10日,6月11日,6月12日,6月13日,6月14日,6月15日,6月16日,6月17日,6月18日,6月19日,6月20日,6月21日,6月22日,6月23日,6月24日,6月25日,6月26日,6月27日,6月28日,6月29日,6月30日,7月1日,7月2日,7月3日,7月4日,7月5日,7月6日,7月7日,7月8日,7月9日,7月10日,7月11日,7月12日,7月13日,7月14日,7月15日,7月16日,7月17日,7月18日,7月19日,7月20日,7月21日,7月22日,7月23日,7月24日,7月25日,7月26日,7月27日,7月28日,7月29日,7月30日,7月31日,8月1日,8月2日,8月3日,8月4日,8月5日,8月6日,8月7日,8月8日,8月9日,8月10日,8月11日,8月12日,8月13日,8月14日,8月15日,8月16日,8月17日,8月18日,8月19日,8月20日,8月21日,8月22日,8月23日,8月24日,8月25日,8月26日,8月27日,8月28日,8月29日,8月30日,8月31日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
市场,研学,0,0,0,0,0,0,0,0,288,17,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,100,309,100,134,211,0,906,0,0,0,0,0,40,30,71,0,36,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,524,0,0,0,0,0,0,0,0,0,0,0,979,19,61,0,146,0,56,38,0,880,0,53,68,880,911,492,324,508,176,337,0,0,663,1533,1076,384,0,812,725,3151,937,0,0,41,59,0,59,0,134,724,16,0,0,1618,1927,654,95,81,0,0,116,503,1250,0,0,0,314,140,517,213,0,0,80,13,0,0,213,0,0,0,0,120,37,0,30,0,0,0,106,0,0,0,0,0,0,0,0,0,50,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,大客户期票,20,15,0,0,10,0,21,10,0,0,3,0,20,0,0,0,0,20,,,10,8,30,0,0,0,20,0,112,28,0,0,4,4,100,1008,1083,4,45,155,205,87,5,122,0,0,0,8,0,0,4,3,0,0,14,100,0,40,0,0,0,0,500,10,1347,0,0,196,15,10,510,45,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,400,436,900,0,6,21,0,25,0,0,0,0,10,27,1,0,12,12,10,10,1,0,0,0,26,0,4,0,0,0,13,13,126,1,0,15,8,3,0,6,0,0,0,0,0,0,0,1005,20,0,0,5,40,0,141,6,7,0,0,108,20,0,3,5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,16,0,0,0,0,0,15,56,10,0,400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,导游司机,2,1,0,0,3,2,3,2,0,0,6,0,1,2,0,5,1,1,,,2,0,1,2,0,0,1,3,1,1,2,1,0,0,1,0,7,3,1,1,4,0,0,1,0,0,1,1,3,4,6,9,6,4,0,2,1,0,0,1,0,2,1,2,10,15,32,15,1,2,3,4,4,2,0,3,4,3,1,10,3,7,5,2,0,3,8,4,6,2,1,3,2,8,3,2,4,3,7,3,13,6,4,7,3,8,8,7,14,6,6,8,14,10,8,5,1,5,5,9,8,11,6,6,3,1,2,7,2,2,0,3,1,3,3,4,3,2,0,1,2,4,3,3,3,2,18,0,2,6,1,2,3,14,3,0,2,0,2,0,4,1,0,0,0,0,0,1,0,1,2,0,4,0,2,6,0,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,旅行社团队,405,697,194,44,28,94,93,171,93,160,276,0,30,56,10,387,196,45,,,39,0,31,55,42,0,35,234,48,15,184,165,81,115,140,161,180,426,282,219,260,140,176,166,188,89,10,527,531,1121,1860,2131,1123,456,616,437,399,514,90,71,174,429,220,120,700,754,1758,550,99,222,207,118,282,232,80,51,202,253,84,506,307,144,153,92,80,92,340,233,92,96,108,141,241,1223,1297,585,198,119,294,173,737,375,214,306,329,244,381,887,664,202,155,273,477,263,550,344,158,307,291,316,1116,1786,2550,1500,391,121,162,334,366,327,218,323,304,250,182,452,91,82,17,67,28,56,64,94,86,40,350,66,38,193,46,16,188,317,203,91,325,319,258,82,283,114,117,295,148,77,32,90,96,298,442,84,126,62,98,213,97,279,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
线上,线上散客,10360,11167,2764,340,360,388,400,443,423,4712,4410,473,571,504,724,525,2248,737,,,316,319,416,1259,791,511,555,721,552,403,1508,2049,1350,1292,1561,1552,1102,2599,3176,1677,2044,2569,2613,2971,7980,2895,811,35655,27035,38287,40848,36815,25158,8360,8263,5267,4758,5631,1315,427,3212,12309,2069,1253,1267,3360,4880,1332,1302,1240,1133,994,977,2448,954,303,765,943,1123,3822,2600,953,1022,950,973,1024,3257,2220,610,940,1269,1387,1714,11602,14755,3705,677,84,659,785,2416,1779,737,699,706,799,829,2359,1439,587,175,601,797,829,2389,1797,876,825,1034,1471,14714,23917,29473,17186,3673,921,602,483,497,673,449,413,407,276,315,571,253,317,426,529,539,456,1405,519,68,494,531,566,486,1912,1365,840,416,348,377,470,1435,1459,793,391,379,446,443,2707,1118,743,799,685,751,3564,5951,591,866,796,773,855,1181,2195,1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
